"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Arrests (People)","10458260","10856260","12147490","11714490","11585560","11958260","12487600","12725150","13826100","14357170","14217170","14230290","14093530","14050410","14662960","15131630","15172910","15290920","14533620","14053000","13985979","13703209","13750337","13646642","13941625","14097950","14382852","14211541","14007265","13689216","13122113","12410323","12198491","11303198","11207143","10797088","10662252","10554985","10310960"
"    By race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (People)","7743889","7922506","8749550","8469965","8394958","8572862","8883913","8898156","9555392","9852937","9925854","9846222","9529394","9446729","9918029","10214118","10352677","10366712","9901244","9656650","9636943","9441934","9645878","9565828","9823752","9873670","10071398","9932687","9754700","9504857","9122011","8596606","8418616","7809933","7771915","5753212","5858330","5626140","5319654"
"        Black or African American (People)","2529059","2759103","3208878","3058203","3001863","3172734","3391961","3589795","4009328","4275546","4023754","4099840","4273293","4313209","4432474","4582105","4451274","4561174","4293862","4066837","4023525","3945300","3759528","3741338","3780801","3883795","3969067","3932107","3906175","3831588","3655619","3474965","3421356","3173889","3115383","2197140","2263112","2221697","2115381"
"        American Indian and Alaska Native (People)","124603","109516","118435","113005","118101","132550","131284","147094","152694","149540","154410","158508","159175","159818","164192","177833","198526","195103","174763","182529","178535","166625","182136","181041","180494","188536","184471","186943","184349","190530","186116","187827","177117","176937","173728","174020","171185","196908","164430"
"        Asian or Pacific Islander (People)","60709","65136","70627","73317","70639","80113","80442","90105","108686","79146","113153","125719","131668","130654","148265","157575","170433","167932","163751","146983","146976","149350","162795","158434","156578","151948","157917","159804","162041","162241","158367","150925","181401","142439","146117","124337","128854","118104","111435"
"    By offense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Drug Abuse Violations  (People)","580900","559900","676000","661400","708400","811400","824100","937400","1155200","1361700","1089500","1010000","1066400","1126300","1351400","1476100","1506200","1583600","1559100","1532200","1579566","1586902","1538813","1678192","1746570","1846351","1889810","1841182","1702537","1663582","1638846","1531251","1552432","1501043","1561231","1488707","1572579","1632921","1654282"
"        Driving Under the Influence (People)","1426700","1531400","1778400","1921100","1779400","1788400","1793300","1727200","1792500","1736200","1810800","1771400","1624500","1524800","1384600","1436000","1467300","1477300","1402800","1511300","1471289","1434852","1461746","1448148","1433382","1371919","1460498","1427494","1483396","1440409","1412223","1215077","1282957","1166824","1117852","1089171","1017808","990678","1001329"
"        Larceny-Theft (People)","1191900","1261600","1368100","1315000","1291700","1348400","1400200","1469200","1571200","1604400","1554800","1588300","1504500","1476300","1514500","1530200","1486300","1472600","1307100","1189400","1166362","1160821","1160085","1145074","1185619","1146696","1081157","1172762","1266706","1334933","1271410","1264986","1282352","1231580","1238190","1160390","1050058","950357","887622"
"        Assault (People)","766070","777470","856550","846330","827860","942990","1062770","1139650","1318100","1437900","1489430","1522100","1581910","1663570","1771360","1858880","1850570","1930720","1845430","1777930","1790586","1793616","1760972","1696631","1722891","1750689","1753705","1739638","1728311","1740673","1700937","1639429","1587838","1456601","1465943","1457173","1462785","1451297","1459335"
"        Disorderly Conduct (People)","769700","787100","895500","757400","665900","671700","676400","698700","760500","776600","733000","757700","753100","727000","746200","748600","842600","811100","696100","633100","638740","621394","669938","639371","657637","678231","703504","709105","685985","655322","615172","582158","543995","467993","436014","386078","369733","353151","329152"
"        Drunkenness (People)","1125800","1155400","1262100","1115200","1152300","964800","933900","828300","818600","822500","910100","881100","832300","726600","713200","708100","718700","734800","710300","656100","637554","618668","572735","548616","552671","556167","553188","589402","611069","594300","560718","534218","511271","443527","414854","405880","376433","366824","328772"
"        Liquor Laws (People)","463500","483500","501200","498300","505500","548600","600200","616700","669600","657300","714700","624100","541700","518500","541800","594900","677400","636400","630400","657900","683124","610591","653819","612079","612528","597838","645734","633654","625939","570333","512790","500648","441532","354872","321125","266250","234899","207332","173152"
"        Burglary (People)","513300","518900","527100","475800","433600","443300","450600","443400","463400","468900","432600","436500","424000","402700","396100","386500","364800","356000","330700","296100","289844","291444","288291","290956","294645","298835","304801","303853","308479","299351","289769","296707","283582","252629","237974","216010","207325","199266","178611"
"        Vandalism (People)","250500","242600","245700","243500","245900","259600","259600","273500","295300","307800","326000","335100","323100","313000","323300","311100","320900","318400","300200","278200","281305","270645","276697","273431","272522","279562","300679","291575","285012","270439","252753","237638","228463","201168","198400","191015","195951","188350","179828"
"        Fraud (People)","291500","295100","334400","309800","270700","342600","349300","341900","366300","376600","291600","427800","424200","410700","419800","436400","465000","414600","394600","363800","345732","323308","337404","299138","282938","321521","280693","252873","234199","210255","187887","168217","153535","143528","141293","133138","128531","124232","119951"
"        Weapons; Carrying, Possessing, etc. (People)","166700","179700","193500","179600","177500","180900","190500","191700","221800","225200","221200","232300","239300","262300","259400","243900","216200","218900","190600","172400","159181","165896","164446","167972","175776","193469","200782","188891","179661","166334","159020","153519","149286","137779","140713","145358","156777","164984","168403"
"        Offenses Against the Family and Children (People)","55400","56500","58700","56300","44300","58800","58400","58700","69900","74200","85800","99400","109200","109100","117200","142900","149800","155800","146400","151200","147663","143683","140286","136034","124936","129128","131491","122812","118419","114564","111062","116723","107018","101247","102336","94837","88748","94062","87475"
"        Robbery (People)","146270","153890","157630","146170","138630","136870","145800","138290","149100","165060","167990","173820","173310","173620","172290","171870","156270","132450","120870","108850","106130","108400","105774","107553","108992","114616","125605","126715","129403","126725","112300","106674","103661","94406","94403","95572","95754","94046","88128"
"        Stolen Property; Buying, Receiving, Possessing (People)","123200","129500","137500","127700","123100","127100","135800","139300","166300","176800","165200","170000","161500","158100","164700","166500","151100","155300","137900","121900","118641","121972","126422","126775","128529","133856","122722","122061","111319","105303","94802","93234","97670","92691","88946","88576","93981","98660","93161"
"        Curfew and Loitering Law Violations (People)","70700","94800","91100","75000","86600","81500","86200","89500","72200","77400","80800","93400","91100","100200","128400","149800","185100","182700","187800","167200","154711","142889","141252","136461","137398","140835","152907","143002","133063","112593","94797","76942","70190","56371","53654","44802","34176","30131","22031"
"        Motor Vehicle Theft (People)","138300","129200","129100","119400","121200","133900","153600","169300","208400","228500","211300","207700","197600","195900","200200","191900","175400","167000","150700","142200","148225","147451","148943","152934","148429","147459","137757","118231","98035","81797","71487","66414","68845","64566","68422","77979","86088","91023","91676"
"        Sex Offense (except forcible rape and prostitution) (People)","67400","72000","78800","87000","97800","100600","100600","100100","106300","104800","107600","108000","108400","104100","100700","94500","95800","101900","93600","92400","93399","91828","95066","91546","90913","91625","87252","83979","79914","77326","72628","69225","68355","57925","55456","51388","51063","48525","46937"
"        Forgery and Counterfeiting (People)","78200","86600","97300","85600","82400","87600","92200","93900","101700","105400","94800","103700","105400","106900","115300","122300","121600","120100","114600","106900","108654","113741","115735","111823","119518","118455","108823","103448","90127","85844","78101","70211","67046","60969","56783","55333","56661","55604","50072"
"        Prostitution and Commercialized Vice (People)","88900","106600","121200","125600","112200","113800","112600","110100","104100","107400","111400","98900","96200","97800","98800","97700","99000","101600","94000","92100","87620","80854","79733","75190","87872","84891","79673","77607","75004","71355","62668","57345","56575","48620","47598","41877","38306","36247","31147"
"        Vagrancy (People)","30700","33000","36800","33700","29100","33800","38700","36100","36500","33800","38500","38500","34300","28200","25300","25900","27800","28800","30400","30000","32542","27935","27295","28948","36404","33227","36471","33666","33852","33388","32033","29203","27003","25755","27380","25151","24851","23321","23546"
"        Forcible Rape (People)","31380","31710","33600","34080","36700","36970","37140","36310","38610","39110","39160","40120","39100","38420","36610","34650","33050","32060","31070","28830","27469","27270","28288","26350","26066","25528","24535","23307","22584","21407","20088","19491","18098","16863","21007","22863","23632","23436","25205"
"        Embezzlement (People)","8500","8700","9000","8800","8100","11400","12600","12700","15500","18200","15300","14000","13700","12900","14300","15200","15700","17400","17100","17100","18952","20157","18552","16826","17332","18970","20012","22381","21402","17920","16616","16190","16023","15730","16227","15909","15937","15967","14765"
"        Arson (People)","19800","20600","20500","19800","19000","19500","18700","18000","19700","18600","19100","20000","19900","19400","20900","20000","19000","20000","17200","16800","16530","18749","16635","16163","15504","16337","16582","15242","14125","12204","11296","11776","11433","10509","9394","8834","9812","9111","9387"
"        Murder and Non-Negligent Manslaughter (People)","20040","21590","21810","20310","17770","18330","19190","19200","21890","22300","22990","24050","22510","23400","22100","21230","19020","18290","17450","14790","13227","13653","14158","13190","13467","14062","13435","13480","12955","12418","11201","10832","11075","10231","10571","11092","11788","12208","11970"
"        Gambling (People)","87000","40700","41200","41000","34700","32100","30500","25400","23600","20600","19300","16600","17100","17300","18500","19500","21000","15900","12800","10400","10842","11112","10506","10954","10755","11180","12307","12161","9811","10360","9941","8596","7868","6024","5637","4825","3705","3237","3323"
"        Suspicion (People)","17200","16200","11200","13800","21300","12900","9000","13500","14000","16000","22200","18400","18400","14100","14000","12100","4900","6500","5200","7500","5682","3955","8899","7163","3554","3764","2482","2176","1650","1975","1166","1424","1532","1096","1310","1389","576","885","564"
"        Runaways (People)","153200","153300","139400","128900","147000","161200","165200","160400","166900","159200","174200","177300","181300","180500","248800","249500","195700","196100","165100","148300","141975","133259","125688","123581","119342","108954","114179","108879","109225","93434",,,,,,,,,
"        All Other Offenses (except traffic) (People)","1775500","1908700","2324100","2267900","2406900","2489200","2730500","2836700","3078900","3214700","3267800","3240000","3389500","3518700","3743200","3865400","3786700","3884600","3824100","3728100","3710434","3618164","3662159","3665543","3815435","3863785","4022068","3931965","3835083","3764672","3720402","3532195","3448856","3282651","3274430","3218880","3254871","3290015","3231700"
"        By assault type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Aggravated Assault (People)","277470","283270","313150","298830","300860","305390","351770","352450","416300","459000","475330","480900","507210","518670","547760","568480","521570","534920","506630","483530","478417","477809","472290","449933","438033","449297","447948","433945","429969","421215","408488","397707","388362","358860","372685","376154","383977","388927","395800"
"            Other Assaults (People)","488600","494200","543400","547500","527000","637600","711000","787200","901800","978900","1014100","1041200","1074700","1144900","1223600","1290400","1329000","1395800","1338800","1294400","1312169","1315807","1288682","1246698","1284858","1301392","1305757","1305693","1298342","1319458","1292449","1241722","1199476","1097741","1093258","1081019","1078808","1062370","1063535"
"        By drug abuse violation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Sale and Manufacturing (People)","129725","113685","138691","146781","159762","192972","209009","242051","326271","436624","347915","359426","335968","330680","353873","364083","368503","352038","348965","328144","327157","325604","308615","341290","326397","343698","336780","326958","304989","310505","302312","281173","277802","269271","265903","239682",,"238406",
"            Possession (People)","451175","446214","537309","514619","548638","618428","615091","695349","828929","925076","741585","650574","730432","795618","997527","1112017","1137697","1231562","1210135","1204056","1252409","1261298","1230198","1336902","1420173","1502653","1553030","1514224","1397548","1353077","1336532","1250078","1274630","1231772","1295328","1249025",,"1394515",
"    By age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Under 18 (People)","2169869","2137239","2150866","1941986","1939330","2035024","2090626","2094350","2211631","2204422","2205583","2310761","2316960","2419048","2729027","2795042","2864795","2819761","2561115","2360426","2300408","2224311","2250055","2208872","2184026","2148888","2213498","2171230","2101096","1906587","1642646","1470134","1320043","1081651","1024232","709333","681701","634535","553620"
"        18 or over (People)","8288391","8719021","9996624","9772504","9646230","9923236","10396974","10630800","11614469","12152748","12011587","11919529","11776570","11631362","11933933","12336588","12308115","12471159","11972505","11692574","11685571","11478898","11500282","11437770","11757599","11949062","12169354","12040311","11906169","11782629","11479467","10940189","10878448","10221547","10182911","7596586","7799901","7613056","7257465"
"        Under 18 By Race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            White (People)","1668044","1578022","1580699","1433155","1443153","1517977","1552593","1534527","1593958","1564237","1576941","1639847","1614606","1671544","1899690","1945773","2032297","2001283","1831964","1690836","1649477","1571699","1596126","1541296","1511909","1445493","1491756","1452995","1400382","1255604","1086479","965267","851814","682816","642581","442364","419393","385298","336027"
"            Black or African American (People)","466603","526969","535576","477566","463647","478496","498963","515697","566585","597904","574497","613641","641985","680287","753341","769770","746190","733557","659723","602710","586556","593101","588118","603790","612346","645787","662314","658379","643472","596511","512948","464839","428625","369700","355345","238542","234092","218048","189596"
"            American Indian and Alaska Native (People)","19638","15724","16568","14692","15087","17530","17513","19130","20933","21988","22882","23062","23824","27553","30637","33877","36491","37296","30370","30434","29261","26611","28850","28291","27107","28072","27059","26990","24477","23936","20201","19772","18228","16003","14208","11999","11509","12912","10346"
"            Asian or Pacific Islander (People)","15585","16524","18023","16573","17443","21021","21557","24997","30155","20293","31263","34212","36545","39662","45360","45623","49818","47625","39057","36446","35113","32900","36961","35495","32663","29535","32369","32866","32765","30536","23017","20256","21376","13132","12098","10052","9826","8841","7273"
"        Over 18 By Race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            White (People)","6075846","6344484","7168851","7036810","6951805","7054885","7331320","7363629","7961434","8288700","8348913","8206376","7914788","7775185","8018339","8268345","8320381","8365429","8069280","7965815","7987466","7870235","8049752","8024532","8311843","8428177","8579641","8479692","8354319","8249253","8035532","7631339","7566803","7127117","7129335","5310848","5438937","5240842","4983627"
"            Black or African American (People)","2062456","2232134","2673302","2580636","2538216","2694239","2892998","3074098","3442743","3677641","3449257","3486199","3631308","3632921","3679134","3812335","3705084","3827616","3634139","3464127","3436969","3352199","3171410","3137548","3168455","3238008","3306753","3273728","3262703","3235077","3142671","3010125","2992731","2804188","2760038","1958598","2029020","2003649","1925785"
"            American Indian and Alaska Native (People)","104966","93791","101867","98313","103014","115020","113771","127964","131761","127553","131528","135446","135351","132264","133554","143955","162035","157806","144392","152094","149274","140014","153286","152751","153387","160465","157412","159953","159872","166594","165914","168055","158889","160934","159520","162021","159676","183996","154084"
"            Asian or Pacific Islander (People)","45123","48612","52603","56744","53195","59093","58885","65109","78531","58854","81890","91507","95123","90992","102906","111953","120615","120307","124694","110538","111863","116450","125834","122939","123914","122413","125548","126939","129276","131705","135349","130670","160026","129307","134018","114285","119028","109263","104162"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Federal Bureau of Investigation","Crime in the United States Report - 1996-2017","Table 1","https://ucr.fbi.gov/crime-in-the-u.s/2017/crime-in-the-u.s.-2017/topic-pages/tables/table-1","","2017","Yearly"
,"Bureau of Justice Statistics"," Arrests Data Analysis Tool","","https://www.bjs.gov/index.cfm?ty=datool&surl=/arrests/index.cfm#","","2015",""
,"Federal Bureau of Investigation","Uniform Crime Reporting Program, Crime in the United States, Table 1","","https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/tables/table-1",,"2019","Yearly "
"Exported on: 10/09/2020"
